site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 543,M.R.450 COAST ROAD at TRI CARE  Hastings Point,"-28.368276, 153.573586",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 543,Hastings Point,RD.2184.170.A,Tweed Coast Road,Hastings Point
Site 545,COBAKI ROAD at No 389,"-28.206545, 153.448118",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 545,Cobaki,RD.306.135.A,Cobaki Road,Cobaki
Site 546,INGRAM PLACE off NORTH ARM ROAD,"-28.336907, 153.367208",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 546,Murwillumbah,RD.629.10.A,Ingram Place,Murwillumbah
Site 547,M.R.142 KYOGLE ROAD at No 55 (Bray Park Shop),"-28.340768, 153.37474",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 547,Bray Park,RD.711.470.A,Kyogle Road,Bray Park
Site 548,FRASER DRIVE south of BOTANICAL CIRCUIT,"-28.218887, 153.521331",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 548,Banora Point,RD.518.45.A,Fraser Drive,Banora Point
Site 549,FRASER DRIVE north of AMAROO DRIVE,"-28.22249, 153.525547",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 549,Banora Point,RD.518.40.A.1,Fraser Drive,Banora Point
Site 350,MUGGA WAY at No 19,"-28.176213,153.529365",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 350,Tweed Heads,RD.823.20.B,Miles Street,Tweed Heads
Site 551,ENDEAVOUR PARADE at No 8,"-28.172745, 153.545871",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 551,Tweed Heads,RD.462.20.A,Endeavour Parade,Tweed Heads
Site 552B,TYALGUM ROAD west of Sovereign Way,"-28.345928, 153.35927",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 552B,Murwillumbah,RD.1357.40.A,Tyalgum Road,Byangum
Site 553,TYALGUM ROAD near No 126,"-28.344426, 153.35398",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 553,Eungella,RD.1357.50.A,Tyalgum Road,Eungella
