site,description,latlong,sharelink,Locality,Segment.ASSET_ID,Segment.ROAD_NAME,Segment.SUBURB
Site 253,MACADAMIA DRIVE at No 40,"-28.376012, 153.556216",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 253,Pottsville,RD.2213.20.A,Macadamia Drive,Pottsville
Site 82,CLOTHIERS CREEK ROAD at No 230,"-28.322058, 153.454273",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 82,Clothiers Creek,RD.279.180.A,Clothiers Creek Road,Nunderi
Site 254,MACADAMIA DRIVE at No 50,"-28.374966, 153.556037",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 254,Pottsville,RD.2213.30.A,Macadamia Drive,Pottsville
Site 255,MACHINERY DRIVE at No 6,"-28.202673, 153.542579",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 255,Tweed Heads,RD.757.30.A,Machinery Drive,Tweed Heads South
Site 83,CLOTHIERS CREEK ROAD at No 334,"-28.324274, 153.463647",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 83,Clothiers Creek,RD.279.140.A,Clothiers Creek Road,Nunderi
Site 256,MACHINERY DRIVE eastern end of the loop,"-28.203042, 153.542937",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 256,Tweed Heads,RD.757.60.A,Machinery Drive,Tweed Heads South
Site 257,MACHINERY DRIVE western end of the loop,"-28.202729, 153.539746",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 257,Tweed Heads,RD.757.60.A,Machinery Drive,Tweed Heads South
Site 84,CLOTHIERS CREEK ROAD at No 351,"-28.325054, 153.465211",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 84,Clothiers Creek,RD.279.130.A,Clothiers Creek Road,Nunderi
Site 258,MAHERS LANE at No 1,"-28.239605, 153.503961",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 258,Terranora,RD.761.20.A,Mahers Lane,Terranora
Site 85,CLOTHIERS CREEK ROAD west of FARRANTS ROAD,"-28.326351, 153.473969",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 85,Clothiers Creek,RD.279.120.A,Clothiers Creek Road,Nunderi
Site 259,MAHERS LANE at No 43,"-28.235151, 153.50501",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 259,Terranora,RD.761.40.A,Mahers Lane,Terranora
Site 86,CLOTHIERS CREEK ROAD at TEA PLATATION,"-28.331375, 153.487815",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 86,Clothiers Creek,RD.279.100.A.1,Clothiers Creek Road,Clothiers Creek
Site 261,MARINE PARADE south of the POLICE STATION,"-28.252142, 153.572973",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 261,Kingscliff,RD.777.50.A,Marine Parade,Kingscliff
Site 262,MARINE PARADE south of the POLICE STATION (Speical SLSC),"-28.256407, 153.578423",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 262,Kingscliff,RD.777.30.A,Marine Parade,Kingscliff
Site 87,CLOTHIERS CREEK ROAD west of the MOTOR WAY,"-28.3303, 153.517548",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 87,Clothiers Creek,RD.279.60.A,Clothiers Creek Road,Clothiers Creek
Site 263,M.R.141 KYOGLE ROAD west of NIMBIN turn off,"-28.510162, 153.180306",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 263,Mount Burrell,RD.711.32.A,Kyogle Road,Mount Burrell
Site 264,M.R.142 NIMBIN ROAD 150metres off KYOGLE ROAD,"-28.51275, 153.18259",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 264,Mount Burrell,RD.876.20.A,Nimbin Road,Mount Burrell
Site 88,CLOTHIERS CREEK ROAD on TANGLEWOOD FLAT,"-28.333713, 153.531276",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 88,Tanglewood,RD.279.30.A,Clothiers Creek Road,Tanglewood
Site 265,M.R.142 KYOGLE ROAD north of NIMBIN turn off,"-28.50735, 153.183776",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 265,Mount Burrell,RD.711.40.A,Kyogle Road,Mount Burrell
Site 266,M.R.142 KYOGLE ROAD new Bridge MOUNT BURRELL,"-28.487329, 153.220042",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 266,Mount Burrell,RD.711.100.A,Kyogle Road,Mount Burrell
Site 89,CLOTHIERS CREEK ROAD 70/50 SIGNS CABARITA,"-28.331144, 153.559736",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 89,Bogangar,RD.279.20.A,Clothiers Creek Road,Bogangar
Site 267,M.R.142 KYOGLE ROAD east of MOUNT BURRELL STORE,"-28.486089, 153.222103",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 267,Mount Burrell,RD.711.110.A,Kyogle Road,Mount Burrell
Site 268,M.R.142 KYOGLE ROAD west of KUNGHUR VILLAGE,"-28.468745, 153.250669",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 268,Kunghur,RD.711.160.A,Kyogle Road,Kunghur
Site 90,CLOTHIERS CREEK ROAD 70/50 SIGNS CABARITA Special,"-28.331179,153.559877",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 90,Bogangar,RD.279.20.A,Clothiers Creek Road,Bogangar
Site 269,M.R.142 KYOGLE ROAD west of BYRRIL CREEK ROAD,"-28.437705, 153.281375",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 269,Terragon,RD.711.200.A.1,Kyogle Road,Terragon
Site 91,COBAKI ROAD south of PIGGABEEN ROAD,"-28.192756, 153.481377",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 91,Tweed Heads West,RD.306.10.A,Cobaki Road,Cobaki
Site 271,M.R.142 KYOGLE ROAD in UKI VILLAGE at No 1478 (east of Uki Bridge),"-28.414136, 153.333751",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 271,Uki,RD.711.280.A,Kyogle Road,Uki
Site 272,M.R.142 KYOGLE ROAD at No 973 DUM DUM,"-28.382734, 153.340113",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 272,Dum Dum,RD.711.380.A,Kyogle Road,Dum Dum
Site 92,COLLIER STREET off CUDGEN ROAD,"-28.263775, 153.55604",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 92,Cudgen,RD.313.10.A.1,Collier Street,Cudgen
Site 273,M.R.142 KYOGLE ROAD north of BYANGUM BRIDGE,"-28.350932, 153.361685",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 273,Byangum,RD.711.437.A,Kyogle Road,Byangum
Site 274,M.R.142 KYOGLE ROAD west of PARK AVENUE,"-28.342073, 153.372959",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 274,Bray Park,RD.711.465.A,Kyogle Road,Murwillumbah
Site 93,COMMERCIAL ROAD north of KING STREET,"-28.329022, 153.398132",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 93,Murwillumbah,RD.317.20.A,Commercial Road,Murwillumbah
Site 275,M.R.142 KYOGLE ROAD on BRAY PARK flat (north of Tree Street),"-28.33529, 153.380955",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 275,Bray Park,RD.711.490.A,Kyogle Road,Murwillumbah
Site 276,RIVERVIEW STREET at No 54,"-28.331153, 153.391478",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 276,Murwillumbah,RD.1125.10.A,Riverview Street,Murwillumbah
Site 94,COMMERCIAL ROAD south of KING STREET,"-28.329817, 153.397656",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 94,Murwillumbah,RD.317.30.A,Commercial Road,Murwillumbah
Site 278,M.R.142 RIVERVIEW STREET at No 13,"-28.328092, 153.391987",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 278,Murwillumbah,RD.1125.10.A,Riverview Street,Murwillumbah
Site 95,COMMISSIONERS CK RD north of DOON DOON ROAD,"-28.486128, 153.30068",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 95,Doon Doon,RD.318.10.A.1,Commissioners Creek Road,Doon Doon
Site 279,M.R.142 ALMA STREET west of RIVER STREET,"-28.328671, 153.400579",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 279,South Murwillumbah,RD.15.10.A,Alma Street,South Murwillumbah
Site 96,CONDONG STREET at No 22,"-28.330866, 153.393895",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 96,Murwillumbah,RD.324.20.A,Condong Street,Murwillumbah
Site 281,M.R.143 TOMEWIN ROAD at TOMEWIN TICK GATES,"-28.241333, 153.376767",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 281,Tomewin,RD.1314.210.A,Tomewin Road,Tomewin
Site 282,M.R.143 TOMEWIN ROAD at No 978,"-28.244206, 153.375687",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 282,Tomewin,RD.1314.210.A,Tomewin Road,Tomewin
Site 97,CONDONG STREET east of MYRTLE LANE,"-28.330336, 153.390139",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 97,Murwillumbah,RD.324.40.A,Condong Street,Murwillumbah
Site 283,M.R.143 TOMEWIN ROAD at No 886,"-28.249108, 153.372279",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 283,Tomewin,RD.1314.190.A,Tomewin Road,Tomewin
Site 284,M.R.143 TOMEWIN ROAD north of DUNGAY CREEK ROAD,"-28.283484, 153.374927",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 284,Dungay,RD.1314.110.A,Tomewin Road,Dungay
Site 98,COOLOON STREET KUNGHUR at No 38,"-28.473651, 153.252765",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 98,Kunghur,RD.1640.10.A,Cooloon Street,Kunghur
Site 285,M.R.143 TOMEWIN ROAD north of NUMINBAH  ROAD,"-28.312013, 153.389389",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 285,Kynnumboon,RD.1314.20.A,Tomewin Road,Kynnumboon
Site 286,M.R.143 TOMEWIN ROAD at No 317,"-28.288286, 153.381552",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 286,Dungay,RD.1314.80.A,Tomewin Road,Kynnumboon
Site 99,COVENT GARDENS WAY at No 2,"-28.215606, 153.529386",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 99,Banora Point,RD.351.10.A,Covent Gardens Way,Banora Point
Site 287,QUEENSLAND ROAD M.R.143 at SOCCER FIELD,"-28.322219, 153.393823",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 287,Murwillumbah,RD.1076.35.A,Queensland Road,Murwillumbah
Site 288,QUEENSLAND ROAD M.R.143 near HISTORICAL MUSEUM,"-28.325501, 153.395191",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 288,Murwillumbah,RD.1076.20.A,Queensland Road,Murwillumbah
Site 100,COVENT GARDENS WAY at No 30,"-28.216572, 153.527057",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 100,Banora Point,RD.351.20.A,Covent Gardens Way,Banora Point
Site 289,M.R.399 NUMINBAH ROAD at NUMINBAH TICK GATES,"-28.260199, 153.23559",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 289,Numinbah,RD.889.350.A,Numinbah Road,Numinbah
Site 291,M.R.399 NUMINBAH ROAD east of CHILLINGHAM,"-28.313341, 153.282618",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 291,Chillingham,RD.889.220.A,Numinbah Road,Chillingham
Site 292,M.R.399 NUMINBAH ROAD at No 603,"-28.319313, 153.343308",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 292,North Arm,RD.889.100.A,Numinbah Road,North Arm
Site 293,M.R.399 NUMINBAH ROAD east of NORTHARM ROAD,"-28.323028, 153.348676",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 293,Nobbys Creek,RD.889.90.A,Numinbah Road,North Arm
Site 294,M.R.399 NUMINBAH ROAD west of KYNUMBOON BRIDGE,"-28.314764, 153.387175",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 294,Kynnumboon,RD.889.10.A,Numinbah Road,Kynnumboon
Site 295,M.R.450 CUDGERA CREEK ROAD  east of Motorway,"-28.388641, 153.526477",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 295,Cudgera Creek,RD.371.120.A,Cudgera Creek Road,Cudgera Creek
Site 296,M.R.450 CUDGERA CREEK ROAD  east of Motorway Special,"-28.3885747, 153.52679",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 296,Cudgera Creek,RD.371.120.A,Cudgera Creek Road,Cudgera Creek
Site 297,M.R.450 POTTSVILLE ROAD west of SEABREEZE BOULEVARD Special,"-28.388438, 153.554903",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 297,Pottsville,RD.1058.200.A,Pottsville Road,Pottsville
Site 298,M.R.450 CORONATION AVENUE at No 16,"-28.389714, 153.56283",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 298,Pottsville,RD.339.15.A,Coronation Avenue,Pottsville
Site 110,CUDGEN ROAD at TAFE COLLEGE,"-28.264459,153.567686",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 110,Kingscliff,RD.365.45.A,Cudgen Road,Cudgen
Site 299,M.R.450 COAST ROAD POTTSVILLE SPORTS GROUND,"-28.387417, 153.565962",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 299,Pottsville,RD.2184.130.A,Tweed Coast Road,Pottsville
Site 301,M.R.450 COAST ROAD 400 metres north of CUDGERA  AVENUE,"-28.373434, 153.570643",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 301,Hastings Point,RD.2184.160.A,Tweed Coast Road,Hastings Point
Site 302,M.R.450 COAST ROAD south of CREEK STREET,"-28.358238, 153.573838",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 302,Hastings Point,RD.2184.190.A,Tweed Coast Road,Hastings Point
Site 303,M.R.450 COAST ROAD norrth of BARCLAY DRIVE,"-28.299268, 153.56935",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 303,Casuarina,RD.2184.280.C,Tweed Coast Road,Kings Forest
Site 304,M.R.450 COAST ROAD norrth of BARCLAY DRIVE Special,"-28.298763, 153.569393",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 304,Casuarina,RD.2184.280.C,Tweed Coast Road,Kings Forest
Site 305,M.R.450 COAST ROAD south of CUDGEN ROAD,"-28.271113, 153.560768",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 305,Kings Forest,RD.2184.325.A,Tweed Coast Road,Cudgen
Site 306,M.R.450 COAST ROAD south of CUDGEN ROAD Special,"-28.373467, 153.570642",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 306,Hastings Point,RD.2184.160.A,Tweed Coast Road,Hastings Point
Site 307,M.R.450 COAST ROAD north of CUDGEN ROAD,"-28.261143, 153.561745",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 307,Cudgen,RD.2184.335.A,Tweed Coast Road,Cudgen
Site 308,M.R.450 COAST ROAD north of CUDGEN ROAD Special,"-28.299351, 153.569285",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 308,Casuarina,RD.2184.280.C,Tweed Coast Road,Kings Forest
Site 120,DARLINGTON DRIVE east of LOCHLOMOND DRIVE,"-28.227964,153.538691",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 120,Banora Point,RD.388.70.A,Darlington Drive,Banora Point
Site 309,M.R.541 TERRANORA ROAD TUMBULGUM END (300m nth of Corkwood Dr),"-28.266759, 153.470769",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 309,North Tumbulgum,RD.1277.270.A,Terranora Road,North Tumbulgum
Site 311,M.R.541 TERRANORA ROAD at No 647,"-28.240713, 153.499766",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 311,North Tumbulgum,RD.1277.120.A,Terranora Road,Terranora
Site 312,M.R.541 TERRANORA ROAD at No 577,"-28.240282, 153.506502",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 312,Banora Point,RD.1277.105.A,Terranora Road,Terranora
Site 313,M.R.541 TERRANORA ROAD at No 29,"-28.234162, 153.52325",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 313,Banora Point,RD.1277.85.A.1,Terranora Road,Terranora
Site 314,M.R.541 TERRANORA ROAD at No 304,"-28.232717, 153.527962",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 314,Banora Point,RD.1277.80.A,Terranora Road,Banora Point
Site 315,M.R.541 TERRANORA ROAD at No 10,"-28.221768, 153.546232",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 315,Banora Point,RD.1277.15.A,Terranora Road,Banora Point
Site 316,TWEED BYPASS,"-28.202547, 153.535619",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 316,Tweed Heads,RD.558.10.A,Greenway Drive,Tweed Heads South
Site 317,M.R.679 Tweed Vally Way BARNEY'S POINT BRIDGE,"-28.225985,153.556754",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 317,Banora Point,RD.259.10.A,Chinderah Bay Drive,Chinderah
Site 130,DOON DOON ROAD on wooden BRIDGE / CARRIAGES,"-28.520814,153.314034",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 130,Doon Doon,USR.407.150.A,Doon Doon Road,Doon Doon
Site 318,M.R.679 Tweed Vally Way Before CHINDERAH RD off RAMP,"-28.245547,153.545782",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 318,Chinderah,RD.259.60.A,Chinderah Bay Drive,Chinderah
Site 319,M.R.679 Tweed Vally Way at STOTTS CREEK,"-28.275173, 153.488446",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 319,Stotts Creek,RD.2194.9360.A,Tweed Valley Way,Tumbulgum
Site 321,M.R.679 Tweed Vally Way north of No 8336,"-28.29884, 153.449289",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 321,Eviron,RD.2194.9310.A,Tweed Valley Way,Eviron
Site 322,M.R.679 Tweed Vally Way at LIQUOR LAND,"-28.319567, 153.429199",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 322,South Murwillumbah,RD.2194.9280.A,Tweed Valley Way,South Murwillumbah
Site 323,M.R.679 Tweed Vally Way at BULLAMAKANKKA PARK,"-28.321739, 153.421404",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 323,South Murwillumbah,RD.2194.9270.A,Tweed Valley Way,South Murwillumbah
Site 324,M.R.679 Tweed Vally Way at No 232    IGA,"-28.327749, 153.407105",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 324,South Murwillumbah,RD.2194.9230.A,Tweed Valley Way,South Murwillumbah
Site 325,M.R.679 Tweed Vally Way north of HOLLAND STREET,"-28.33284, 153.401136",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 325,South Murwillumbah,RD.2194.9210.A,Tweed Valley Way,South Murwillumbah
Site 326,M.R.679 Tweed Valley Way at No 6149 (north of Station Street),"-28.432169, 153.471642",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 326,Burringbar,RD.2194.9060.A,Tweed Valley Way,Burringbar
Site 327,M.R.679 Tweed Vally Way between BURRINGBAR and MOOBALL,"-28.441768, 153.478364",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 327,Burringbar,RD.2194.9040.A,Tweed Valley Way,Mooball
Site 140,DUNGAY CREEK ROAD at No 282,"-28.26607, 153.358614",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 140,Upper Dungay,RD.427.70.A,Dungay Creek Road,Dungay
Site 328,M.R.679 Tweed Vally Way north of POTTSVILLE ROAD,"-28.441861, 153.487943",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 328,Mooball,RD.2194.9030.A.1,Tweed Valley Way,Mooball
Site 329,M.R.679 Tweed Vally Way at No 5838,"-28.442677, 153.496852",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 329,Mooball,RD.2194.9020.A,Tweed Valley Way,Mooball
Site 331,MCALLISTERS ROAD at No 26,"-28.214919, 153.48064",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 331,Bilambil Heights,RD.792.40.A.1,McAllisters Road,Bilambil Heights
Site 332,MCAULEYS ROAD at No 5,"-28.242316, 153.510365",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 332,Terranora,RD.793.10.A,McAuleys Road,Terranora
Site 333,MCLEOD STREET at No 121,"-28.310992, 153.434846",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 333,Condong,RD.807.40.A,McLeod Street,Condong
Site 334,MCPHAIL AVENUE at No 66,"-28.262962, 153.571553",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 334,Kingscliff,RD.809.40.A,McPhail Avenue,Kingscliff
Site 335,MIDGINBILL ROAD off DOON DOON ROAD,"-28.483353, 153.272485",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 335,Midginbil,RD.821.10.A,Midginbil Road,Midginbil
Site 336,MILES STREET at No 15,"-28.185186, 153.529419",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 336,Tweed Heads,RD.321.30.A,Companion Way,Tweed Heads
Site 337,MINJUNGBAL DRIVE at No 155,"-28.205049, 153.544506",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 337,Tweed Heads,RD.827.30.B.1,Minjungbal Drive,Tweed Heads South
Site 150,ELROND DRIVE north of TURNOCK STREET,"-28.250745, 153.566034",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 150,Kingscliff,RD.458.40.A,Elrond Drive,Kingscliff
Site 338,MINJUNGBAL DRIVE north of MACHINERY DRIVE,"-28.201115, 153.544048",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 338,Tweed Heads,RD.827.130.C,Minjungbal Drive,Tweed Heads South
Site 339,MINJUNGBAL DRIVE north of KIRKWOOD ROAD,"-28.196225, 153.543453",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 339,Tweed Heads,RD.827.35.B,Minjungbal Drive,Tweed Heads South
Site 341,MINNOWS ROAD off TWEED VALLEY WAY,"-28.379126, 153.42011",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 341,Dunbible,RD.829.10.A,Minnows Road,Fernvale
Site 342,MISTRAL AVENUE at ANTHONYS BRIDGE,"-28.350292, 153.393997",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 342,South Murwillumbah,RD.1864.40.A,Mistral Road,South Murwillumbah
Site 343,MOUNT WARNING ROAD off M.R.142,"-28.383372, 153.337778",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 343,Dum Dum,RD.850.10.A.1,Mount Warning Road,Mount Warning
Site 344,MOUNT WARNING ROAD just west of entry to No 64 Mavis Kitchen,"-28.384859, 153.335129",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 344,Mount Warning,RD.850.30.A,Mount Warning Road,Mount Warning
Site 345,MYRTLE STREET at No 60,"-28.33128, 153.385113",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 345,Murwillumbah,RD.863.10.A,Myrtle Street,Murwillumbah
Site 346,MYRTLE STREET at No 21,"-28.330726, 153.389212",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 346,Murwillumbah,RD.863.40.A,Myrtle Street,Murwillumbah
Site 347,MONTEREY AVENUE off DARLINGTON DRIVE,"-28.216749, 153.532642",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 347,Banora Point,RD.839.10.A,Monterey Avenue,Banora Point
Site 160,FAULKNER SREET TWEED HEADS AT No 5,"-28.192811, 153.536996",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 160,Tweed Heads,RD.485.10.A,Faulkner Street,Tweed Heads South
Site 348,MONOMEETH AVE at No 16,"-28.21464, 153.485572",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 348,Bilambil Heights,RD.838.20.A,Monomeeth Avenue,Bilambil Heights
Site 349,MORTON STREET off TWEED COAST ROAD,"-28.246287, 153.554746",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 349,Chinderah,RD.846.05.A,Morton Street,Chinderah
Site 351,MOSS STREET off MARINE PARADE,"-28.258659, 153.581541",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 351,Kingscliff,RD.847.10.A,Moss Street,Kingscliff
Site 352,NOBBY'S CREEK ROAD off NUMINBAH ROAD,"-28.319383, 153.347705",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 352,Nobbys Creek,RD.880.20.A,Nobbys Creek Road,Nobbys Creek
Site 353,NOBBY'S CREEK ROAD at END of SEAL,"-28.280741, 153.328786",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 353,Nobbys Creek,RD.880.110.A,Nobbys Creek Road,Nobbys Creek
Site 165M-TN,S.H.10 Pacific Mway at Tweed River Chinderah,"-28.225985,153.556754",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 165M-TN,Chinderah,RD.259.10.A,Chinderah Bay Drive,Chinderah
Site 354,NORTH ARM ROAD east of INGRAM PLACE,"-28.336156, 153.367929",https://tweednswgovau.sharepoint.com/sites/Traffic/Traffic Monitoring Reports/Site 354,Murwillumbah,RD.883.20.A,North Arm Road,Murwillumbah
