PLAN,DESCRIPTION,APPLICATION_REFERENCE,APPLICATION_NO,chargeAcPrefix,chargeAc,chargeAmount,VALUEFIRST,VALUEFIRST_LABEL,VALUE1_LABEL,VALUE1,VALUE2_LABEL,VALUE2,VALUE3_LABEL,VALUE3,VALUE4_LABEL,VALUE4,LikelyExpired,PROPERTY_NO,Purpose,transAcPrefix,transAc,transAmount
S94-05,S94-05 - Casual Open Space (Local),DA04/1345,412409,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,14352,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA04/1349,412419,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,36435,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA04/1440,413178,ZFRI,ZFRInfrastructure,10246,30.7286,ET (Structured),ET (Structured),30.7286,ET (Casual),30.6769,,,,,Expired,12654,Open Space,ZFDC,ZFDCCasualOS_5,-5123
S94-05,S94-05 - Casual Open Space (Local),DA04/1463,413431,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,14722,Open Space,ZFDC,ZFDCCasualOS_5,-167
S94-05,S94-05 - Casual Open Space (Local),DA04/1480,413579,ZFRI,ZFRInfrastructure,538,3.2304,ET (Structured),ET (Structured),3.2304,ET (Casual),3.2216,,,,,Expired,8585,Open Space,ZFDC,ZFDCCasualOS_5,-538
S94-05,S94-05 - Casual Open Space (Local),DA04/1492,413688,ZFRI,ZFRInfrastructure,2338,14,ET (Structured),ET (Structured),14,ET (Casual),14,,,,,Expired,17117,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA04/1500,413738,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,189,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA04/1509,413812,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,92160,Open Space,ZFDC,ZFDCCasualOS_5,-51
S94-05,S94-05 - Casual Open Space (Local),DA04/1535,414053,ZFRI,ZFRInfrastructure,8880,7.807,ET (Structured),ET (Structured),7.807,ET (Casual),7.79,,,,,Expired,17330,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA04/1546,414222,ZFRI,ZFRInfrastructure,487,2.9228,ET (Structured),ET (Structured),2.9228,ET (Casual),2.9162,,,,,Expired,9427,Open Space,ZFDC,ZFDCCasualOS_5,-487
S94-05,S94-05 - Casual Open Space (Local),DA04/1582,414837,ZFRI,ZFRInfrastructure,501,3,ET (Structured),ET (Structured),3,ET (Casual),3,,,,,Expired,41305,Open Space,ZFDC,ZFDCCasualOS_5,-501
S94-05,S94-05 - Casual Open Space (Local),DA04/1591,414897,ZFRI,ZFRInfrastructure,49265,10,ET (Structured),ET (Structured),10,ET (Casual),10,,,,,Expired,92940,Open Space,ZFDC,ZFDCCasualOS_5,-9686
S94-05,S94-05 - Casual Open Space (Local),DA04/1606,415047,ZFRI,ZFRInfrastructure,51,0.3076,ET (Structured),ET (Structured),0.3076,ET (Casual),0.3054,,,,,Expired,3003,Open Space,,,
S94-05,S94-05 - Casual Open Space (Local),DA04/1615,415155,ZFRI,ZFRInfrastructure,167,1,ET (Structured),ET (Structured),1,ET (Casual),1,,,,,Expired,30090,Open Space,ZFDC,ZFDCCasualOS_5,-167
