Ledger,Account,Plan,Activity,Sector,Month Num,Month Text,Month,Fiscal Month,Date,Doc Type,Amount,DataDate,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-15395.4,45530.00,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-2215.2,45530.00,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-530,45530.00,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-3340.6,45530.00,,,,,
DC01ACT,45025,03,Community Facilities,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-38957.6,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-426,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-333,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-983.25,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-749.25,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-1732,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-1358,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,5,May,11-May,11,31/05/2001,GLJNLOP,-220,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,5,May,11-May,11,31/05/2001,GLJNLOP,-173,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-28586,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 3,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-333,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 4,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-462,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 5,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-1057,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 5,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-477,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 5,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-5459,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 5,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-121,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 5,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-932,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 5,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-420,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 6,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-220,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 7,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-490,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 7,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-621,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 8,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-621,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 8,5,May,11-May,11,31/05/2001,GLJNLOP,-1242,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 8,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-621,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 9,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-1557,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 9,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-358,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 9,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-1557,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 9,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-3114,45530.00,,,,,
DC01ACT,45020,05,Open Space,Sector 10,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-426,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-429,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-1587.3,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-471.9,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-1244.1,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-42.9,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-1415.7,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-3603.6,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,5,May,11-May,11,31/05/2001,GLJNLOP,-42.9,45530.00,,,,,
DC01ACT,45095,06,Street Trees,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-9309.3,45530.00,,,,,
DC01ACT,45020,07,Open Space,No Sector,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-437,45530.00,,,,,
DC01ACT,45020,07,Open Space,No Sector,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-16591.2,45530.00,,,,,
DC01ACT,45020,07,Open Space,No Sector,5,May,11-May,11,31/05/2001,GLJNLOP,-437,45530.00,,,,,
DC01ACT,45030,07,Footpath/Cycleway,No Sector,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-233.27,45530.00,,,,,
DC01ACT,45030,07,Footpath/Cycleway,No Sector,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-8854.4,45530.00,,,,,
DC01ACT,45030,07,Footpath/Cycleway,No Sector,5,May,11-May,11,31/05/2001,GLJNLOP,11513.11,45530.00,,,,,
DC01ACT,45030,07,Footpath/Cycleway,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-11746.38,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-4080,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-150,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-1260,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-3600,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-2460,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-300,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-245,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-2880,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-9900,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-9307.9,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-12670,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-26370,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,5,May,11-May,11,31/05/2001,GLJNLOP,12723.7,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,5,May,11-May,11,31/05/2001,GLJNLOP,-16028.7,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-12968.7,45530.00,,,,,
DC01ACT,45025,11,Community Facilities,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-72666.3,45530.00,,,,,
DC01ACT,45095,12,Bus Shelters,No Sector,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-230,45530.00,,,,,
DC01ACT,45095,12,Bus Shelters,No Sector,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-828.4,45530.00,,,,,
DC01ACT,45095,12,Bus Shelters,No Sector,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-230,45530.00,,,,,
DC01ACT,45095,12,Bus Shelters,No Sector,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-123,45530.00,,,,,
DC01ACT,45095,12,Bus Shelters,No Sector,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-759,45530.00,,,,,
DC01ACT,45095,12,Bus Shelters,No Sector,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-2017,45530.00,,,,,
DC01ACT,45095,12,Bus Shelters,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-6509,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,7,Jul,01-Jul,1,31/07/2000,GLJNLOP,-1228,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,8,Aug,02-Aug,2,31/08/2000,GLJNLOP,-44,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-440,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-1482,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-888,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,12,Dec,06-Dec,6,31/12/2000,GLJNLOP,-96,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-1144.5,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,2,Feb,08-Feb,8,28/02/2001,GLJNLOP,-4158,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-4938,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-11076,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,5,May,11-May,11,31/05/2001,GLJNLOP,-1266,45530.00,,,,,
DC01ACT,45095,13,Cemeteries,No Sector,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-35958,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 1,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-554,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 1,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-582.4,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 1,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-1107,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 1,3,Mar,09-Mar,9,31/03/2001,GLJNLOP,-265,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 1,4,Apr,10-Apr,10,30/04/2001,GLJNLOP,-3014,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 1,5,May,11-May,11,31/05/2001,GLJNLOP,-492,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 2,9,Sep,03-Sep,3,30/09/2000,GLJNLOP,-2336,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 2,10,Oct,04-Oct,4,31/10/2000,GLJNLOP,-645,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 2,11,Nov,05-Nov,5,30/11/2000,GLJNLOP,-584,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 2,1,Jan,07-Jan,7,31/01/2001,GLJNLOP,-584,45530.00,,,,,
DC01ACT,45025,15,Community Facilities,Sector 2,6,Jun,12-Jun,12,30/06/2001,GLJNLOP,-39036,45530.00,,,,,
