,,," $922,052,571 ",,,,,,,,,,,,,,,,,,
 Item No. , TRDS Item , Tweed Road Contribution Projects , TOTAL ,Column1, Active , Cost Estimate , Column2 , Construction Cost , Professional & Principal Costs ,, Preliminaries ,, Traffic Control ,, Contingency  ,, Escalation ,,,,
,,,,,,,,, Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Rate ,Cost ($), Year , Rate ,Cost ($),,
36.36,LEGACY,"Wharf St, Boyd St and Kennedy Dr ramps and intersection upgrade (including potential intersection upgrade at Brett St, Terranora Tce and River Tce)"," $7,785,006 ",,Yes,,," $4,435,900.99 ",13%," $576,667 ",11%," $487,949 ",11%," $487,949 ",30.00%," $1,796,540 ",,0.00%, $-   ,,
36.37,14,Wharf St and Florence St intersection upgrade," $3,567,597 ",,Yes,,," $2,032,818.73 ",13%," $264,266 ",11%," $223,610 ",11%," $223,610 ",30.00%," $823,292 ",,0.00%, $-   ,,
36.40,LEGACY,Ourimbah Rd extension - cul-de-sac to new intersection with Gold Coast Highway (250m) (including intersection upgrade with Ducat St and new intersection with Gold Coast Highway)," $11,392,875 ",,Yes,,," $6,846,679.66 ",10%," $684,668 ",9%," $616,201 ",9%," $616,201 ",30.00%," $2,629,125 ",,0.00%, $-   ,,
36.06,16,Kirkwood Rd - Pacific Motorway overpass (330m total including 75m bridge)," $23,818,873 ",,Yes," $23,818,873.00 ",," $16,619,962.50 ",10%," $1,661,996 ",9%," $1,495,797 ",9%," $1,495,797 ",30.00%," $6,382,066 ",,0.00%, $-   ,,
36.07,17,Kirkwood Rd - western interchange intersection," $5,681,887 ",,Yes," $5,681,887.00 ",," $2,999,618.73 ",13%," $389,950 ",11%," $329,958 ",11%," $329,958 ",30.00%," $1,214,846 ",,0.00%, $-   ,,
36.08,16,Kirkwood Rd - Fraser Dr to Pacific Motorway interchange western intersection (including intersection with Fraser Dr) (500m)," $12,188,421 ",,Yes," $12,188,421.00 ",," $11,755,031.44 ",10%," $1,175,503 ",9%," $1,057,953 ",9%," $1,057,953 ",30.00%," $4,513,932 ",,0.00%, $-   ,,
36.09,17,Pacific Motorway northbound offramp to Kirkwood Dr interchange (500m)," $6,156,155 ",,Yes," $6,156,155.00 ",," $6,240,800.00 ",10%," $624,080 ",9%," $561,672 ",9%," $561,672 ",30.00%," $2,396,467 ",,0.00%, $-   ,,
36.17,17,Kirkwood Dr northbound onramp to Pacific Motorway (326m)," $7,729,514 ",,Yes," $7,729,514.00 ",," $4,689,720.00 ",13%," $609,664 ",11%," $515,869 ",11%," $515,869 ",30.00%," $1,899,337 ",,0.00%, $-   ,,
39.00,18,Enterprise Ave extension - existing Enterprise Ave to Kirkwood Rd and Pacific Motorway west interchange intersection (600m)," $21,302,942 ",,Yes,,," $12,802,248.52 ",10%," $1,280,225 ",9%," $1,152,202 ",9%," $1,152,202 ",30.00%," $4,916,063 ",,0.00%, $-   ,,
47.02,LEGACY,Kirkwood Rd and Minjungbal Dr intersection upgrade," $1,756,755 ",,Yes,,," $1,001,000.00 ",13%," $130,130 ",11%," $110,110 ",11%," $110,110 ",30.00%," $405,405 ",,0.00%, $-   ,,
50.00,19,Fraser Dr upgrade - Leisure Dr to Amaroo Dr (1400m)," $27,790,278 ",,Yes,,," $16,700,888.05 ",10%," $1,670,089 ",9%," $1,503,080 ",9%," $1,503,080 ",30.00%," $6,413,141 ",,0.00%, $-   ,,
